Step,Energy,Magnetisation
0,0,12
1,-24,10
2,-20,-12
3,8,6
4,-16,12
5,12,0
6,12,0
7,4,0
8,-24,-6
9,4,-2
10,12,-16
11,0,-2
12,-12,-24
13,-12,2
14,-24,-20
15,0,-8
16,-8,4
17,-12,8
18,-28,-6
19,-20,-6
20,-12,14
21,-12,-6
22,-8,-14
23,-20,6
24,-20,2
25,-12,-2
26,0,4
27,4,0
28,-16,10
29,-4,2
30,-12,-12
31,-32,-2
32,-8,8
33,-12,-2
34,-16,6
35,-16,-10
36,-8,-2
37,-4,-4
38,0,20
39,-8,16
40,0,-8
41,-12,-4
42,-8,4
43,0,-24
44,-12,-18
45,0,-2
46,-12,16
47,-24,18
48,-24,4
49,-12,-8
50,-36,2
51,-4,10
52,-16,0
53,-24,-2
54,-12,-6
55,-8,16
56,4,14
57,-12,-16
58,-8,-8
59,-24,16
60,-12,-12
61,-8,-14
62,-16,12
63,12,-24
64,-16,10
65,4,8
66,0,6
67,-16,6
68,-8,0
69,-16,12
70,-28,12
71,-16,0
72,-16,-6
73,-24,-10
74,0,18
75,0,-6
76,-24,-2
77,4,2
78,12,-8
79,-24,-16
80,0,-6
81,-16,-2
82,-4,6
83,-4,4
84,0,-6
85,-12,-2
86,-12,-2
87,4,2
88,4,-2
89,-20,-28
90,-12,0
91,-4,6
92,4,22
93,-20,8
94,-8,18
95,-8,6
96,-16,-10
97,4,6
98,-8,-10
99,-4,-2
100,8,-6
101,-4,2
102,-16,4
103,-4,4
104,-16,6
105,12,2
106,-16,-12
107,-24,-20
108,-20,-8
109,4,-4
110,-4,2
111,4,-8
112,-4,2
113,-4,20
114,0,6
115,-20,-4
116,-12,0
117,-20,-10
118,-16,-22
119,-8,2
120,-28,-8
121,-12,-4
122,-4,4
123,-4,-2
124,-8,-12
125,-12,-8
126,8,8
127,-24,4
128,-20,14
129,-8,-6
130,-12,8
131,8,8
132,-4,-2
133,-20,6
134,-4,-4
135,0,-8
136,-4,0
137,-16,12
138,-4,6
139,-8,14
140,-4,8
141,-12,0
142,4,-12
143,0,2
144,-12,8
145,-12,-18
146,-20,-6
147,-12,10
148,0,-6
149,-16,6
150,-36,10
151,-20,-2
152,-12,8
153,0,-2
154,-8,4
155,20,4
156,-20,6
157,-8,-4
158,-12,2
159,4,18
160,4,-8
161,0,-14
162,0,-18
163,-12,-36
164,0,2
165,-32,10
166,-20,2
167,-16,-6
168,-16,-6
169,-4,-8
170,-16,-4
171,4,-2
172,-4,4
173,-4,2
174,-8,0
175,-8,4
176,-4,8
177,-16,10
178,-20,12
179,-12,6
180,-12,4
181,-12,4
182,-32,-4
183,-8,-14
184,8,-6
185,4,-8
186,0,0
187,-32,-22
188,-12,2
189,-12,-16
190,-16,4
191,-20,16
192,0,4
193,-8,14
194,-16,4
195,-12,10
196,-12,-6
197,8,8
198,8,-10
199,-4,-14
200,-20,-6
201,-16,12
202,-4,2
203,-16,-6
204,4,-10
205,-32,24
206,0,10
207,0,-6
208,-12,12
209,-24,30
210,-12,-4
211,0,-10
212,-12,-12
213,-8,-20
214,16,-2
215,0,28
216,-24,6
217,0,6
218,4,12
219,0,10
220,-16,-4
221,-4,-32
222,-16,-6
223,-20,-4
224,-24,6
225,-8,14
226,4,4
227,0,-6
228,0,-22
229,-12,-14
230,-8,8
231,-20,6
232,-16,8
233,-4,-12
234,12,2
235,0,8
236,-16,-8
237,4,-6
238,-4,6
239,-8,-16
240,-4,4
241,-16,12
242,12,-2
243,-12,2
244,-4,-10
245,-24,-12
246,-12,-8
247,-12,-12
248,-4,4
249,-8,-2
250,-16,-4
251,-4,-8
252,-16,12
253,-4,16
254,-8,12
255,-32,4
256,-8,-6
257,-36,-30
258,-8,-2
259,0,-6
260,-8,8
261,-24,12
262,4,-10
263,8,-6
264,-16,4
265,-24,-8
266,-20,-10
267,-16,-6
268,-12,-6
269,-8,6
270,24,0
271,8,-12
272,8,4
273,-20,-8
274,-24,6
275,-20,0
276,-4,30
277,-20,12
278,-20,2
279,-4,-8
280,-12,-12
281,-16,6
282,0,-2
283,-12,0
284,0,2
285,-12,-22
286,0,-6
287,-8,-10
288,-12,-4
289,-4,-4
290,12,2
291,-4,8
292,-4,-10
293,-4,-12
294,-16,-16
295,-4,12
296,0,6
297,-12,-4
298,-4,18
299,-4,8
300,-16,18
301,-16,12
302,8,-14
303,4,-12
304,-4,-12
305,-8,8
306,-12,0
307,-16,22
308,-8,14
309,0,4
310,-20,-8
311,-16,8
312,-20,14
313,-24,-6
314,-4,18
315,0,-4
316,0,-10
317,8,-4
318,4,-8
319,-12,-14
320,-4,-8
321,-8,-4
322,-4,12
323,-24,6
324,-32,2
325,-4,10
326,-20,-2
327,16,16
328,-8,2
329,-12,10
330,-12,-6
331,-12,-14
332,-4,-14
333,-24,-16
334,-4,6
335,0,6
336,-24,12
337,-4,-12
338,-16,-4
339,-12,10
340,-4,14
341,-12,-2
342,-12,-12
343,-8,-18
344,-8,6
345,-16,16
346,-16,10
347,-8,6
348,12,-4
349,-8,0
350,-20,10
351,8,-6
352,-16,0
353,4,-4
354,-12,-8
355,-28,-8
356,-4,-8
357,-16,-8
358,-8,-14
359,-8,-4
360,-12,8
361,-20,20
362,-20,12
363,0,-14
364,-24,10
365,-28,6
366,-8,2
367,4,-10
368,-4,-2
369,-12,-6
370,-16,-10
371,-12,-12
372,-32,-18
373,-8,-4
374,0,-4
375,-12,-14
376,-12,0
377,-12,-6
378,-28,16
379,-16,10
380,-12,8
381,4,6
382,-16,8
383,-24,8
384,8,-2
385,-8,0
386,-16,-22
387,0,-8
388,-16,-6
389,-4,12
390,-16,18
391,-4,-16
392,4,-4
393,-4,-12
394,-16,-10
395,-8,-16
396,-4,-16
397,0,0
398,4,4
399,-8,-16
400,-8,-2
401,0,-4
402,-4,12
403,-16,-4
404,-4,0
405,0,8
406,-8,-12
407,-4,0
408,-8,-8
409,8,2
410,-20,-12
411,-4,-14
412,0,-2
413,-20,14
414,-20,10
415,-12,-8
416,-12,2
417,-8,6
418,-28,16
419,-32,14
420,-16,14
421,-20,14
422,-8,-8
423,-4,-10
424,0,-16
425,-8,-6
426,0,-2
427,-16,-4
428,-12,6
429,-8,-2
430,-12,14
431,-32,-8
432,4,-20
433,-12,-16
434,-20,-2
435,20,-2
436,-20,2
437,-8,-16
438,-8,0
439,-12,-4
440,-12,-32
441,0,-16
442,0,-6
443,-4,2
444,-20,-8
445,-20,-4
446,-12,-6
447,8,14
448,-4,14
449,4,-14
450,-16,-4
451,-12,2
452,-24,-2
453,-12,10
454,-4,-12
455,-16,-14
456,4,-14
457,-4,10
458,-4,-8
459,-16,-12
460,-8,6
461,-32,2
462,-8,0
463,-8,10
464,-12,16
465,-8,16
466,-12,4
467,0,2
468,-16,2
469,-12,0
470,-12,10
471,-28,-10
472,12,-6
473,-16,-12
474,-8,-12
475,8,8
476,-28,8
477,-12,14
478,8,4
479,4,0
480,-16,-8
481,-4,-4
482,-8,-24
483,-4,-38
484,-16,-20
485,16,-6
486,-20,6
487,0,16
488,-20,4
489,-20,10
490,0,0
491,-24,-10
492,-8,2
493,-12,2
494,-16,-4
495,-12,0
496,-4,-4
497,-16,10
498,12,-8
499,-8,-6
500,-16,-8
501,8,18
502,4,2
503,-16,14
504,-20,16
505,-8,4
506,-4,-10
507,-8,2
508,0,8
509,0,12
510,-24,6
511,-4,0
512,-8,4
513,-24,-16
514,-24,2
515,-20,14
516,0,2
517,-24,-4
518,-8,-10
519,-16,-16
520,-20,14
521,-8,2
522,-36,2
523,-20,10
524,0,2
525,-16,18
526,-4,6
527,4,-12
528,-24,-2
529,-4,10
530,-36,-16
531,-32,-20
532,-20,8
533,-32,0
534,-28,-6
535,-8,12
536,-24,0
537,-16,6
538,-4,12
539,-8,6
540,-12,14
541,-16,2
542,-28,0
543,-4,-8
544,-8,10
545,-16,4
546,-12,2
547,8,0
548,-12,-4
549,-12,8
550,0,16
551,-20,12
552,-20,4
553,-4,-8
554,-12,26
555,-24,2
556,8,6
557,4,-2
558,-20,20
559,-8,10
560,-4,4
561,-16,-14
562,-4,-14
563,-16,26
564,-4,-6
565,-16,8
566,-12,6
567,-4,12
568,-16,-4
569,-16,-8
570,-8,2
571,-8,8
572,-8,-4
573,4,-12
574,-8,16
575,-12,-6
576,-8,-24
577,-8,-10
578,-36,28
579,-20,8
580,-12,2
581,-12,10
582,-8,4
583,-20,2
584,-12,10
585,8,2
586,-12,0
587,-16,-8
588,4,-2
589,-4,4
590,-12,4
591,-16,12
592,-28,10
593,8,6
594,-20,16
595,4,-8
596,-28,-10
597,-8,-4
598,-12,4
599,-16,0
600,0,-8
601,-16,-8
602,-12,-8
603,-12,-26
604,-8,2
605,-24,-24
606,-16,-4
607,4,-2
608,0,-2
609,-4,2
610,12,4
611,-20,4
612,-16,-12
613,8,20
614,-20,16
615,-8,2
616,-28,8
617,-16,-28
618,-4,-8
619,4,-14
620,-16,8
621,-8,-12
622,-4,-2
623,-4,8
624,-12,2
625,-20,6
626,-4,14
627,-16,-2
628,0,6
629,-12,-8
630,-12,-12
631,0,6
632,-12,26
633,-12,0
634,-12,18
635,0,18
636,0,10
637,-16,12
638,-20,2
639,4,-8
640,-16,-8
641,-16,-2
642,-12,2
643,0,4
644,-8,-12
645,-24,-14
646,-4,2
647,-8,-6
648,-16,0
649,-16,10
650,0,8
651,-24,10
652,-4,6
653,-8,-6
654,-12,-8
655,-12,10
656,-8,8
657,-16,4
658,-20,14
659,-12,16
660,-28,2
661,-8,-4
662,-8,-12
663,0,18
664,-16,12
665,-20,8
666,-28,6
667,-8,2
668,-8,2
669,-20,22
670,-12,4
671,-8,-4
672,-4,-14
673,12,-4
674,-4,6
675,-12,8
676,0,18
677,-24,12
678,-20,-2
679,-8,-26
680,-4,8
681,-4,-6
682,-28,20
683,-4,4
684,-16,6
685,-8,12
686,-16,0
687,-8,-14
688,-16,10
689,-28,6
690,-16,18
691,-12,4
692,-28,2
693,-16,6
694,-12,16
695,4,-14
696,-12,0
697,-8,-4
698,16,2
699,-20,10
700,-4,2
701,-16,22
702,-4,10
703,4,-4
704,-12,12
705,-8,2
706,-8,-4
707,-16,22
708,-20,10
709,-28,26
710,-4,-8
711,-16,-4
712,-24,-16
713,-4,-2
714,-12,-4
715,0,10
716,4,-22
717,-24,-22
718,-20,-6
719,0,12
720,-4,8
721,-12,4
722,0,0
723,-8,-22
724,-24,-28
725,-20,-10
726,8,-14
727,-20,0
728,-8,2
729,0,0
730,-20,-10
731,-16,-20
732,-4,0
733,-8,8
734,-8,2
735,-12,-12
736,-28,8
737,0,6
738,0,2
739,-24,18
740,0,0
741,-4,0
742,-12,-14
743,-8,22
744,-20,22
745,-8,10
746,-12,12
747,-16,6
748,12,-6
