Step,Energy,Magnetisation
0,-6568,-250
1,-8672,-348
2,-10096,-524
3,-10952,-462
4,-11480,-566
5,-12088,-540
6,-12464,-398
7,-12768,-462
8,-12996,-412
9,-13124,-448
10,-13392,-554
11,-13700,-502
12,-13736,-578
13,-13748,-588
14,-13792,-452
15,-13816,-554
16,-13892,-812
17,-13704,-738
18,-13752,-550
19,-13892,-390
20,-14124,-334
21,-14224,-252
22,-14272,-236
23,-14388,-92
24,-14396,68
25,-14452,110
26,-14504,236
27,-14232,330
28,-14428,376
29,-14512,450
30,-14608,400
31,-14648,404
32,-14728,304
33,-14880,256
34,-15044,280
35,-15068,82
36,-15060,138
37,-15056,92
38,-15044,-18
39,-15152,32
40,-15144,-100
41,-15248,-282
42,-14948,-404
43,-15040,-480
44,-15112,-404
45,-15100,-230
46,-15064,-286
47,-15300,-272
48,-15456,-100
49,-15508,-50
50,-15424,-80
51,-15428,36
52,-15388,24
53,-15564,-44
54,-15444,-32
55,-15408,86
56,-15552,84
57,-15764,86
58,-15680,64
59,-15648,6
60,-15688,104
61,-15700,124
62,-15876,222
63,-15848,214
64,-16012,236
65,-15968,314
66,-15896,212
67,-15896,142
68,-15844,126
69,-15808,156
70,-15756,124
71,-15864,94
72,-15680,104
73,-15636,0
74,-15732,-184
75,-15836,-88
76,-15860,44
77,-16196,40
78,-16004,140
79,-16012,248
80,-16032,228
81,-15876,264
82,-15736,232
83,-15560,380
84,-15640,374
85,-15900,414
86,-16020,420
87,-15940,416
88,-15980,482
89,-16004,396
90,-15800,348
91,-15840,358
92,-15820,290
93,-16004,382
94,-15876,404
95,-15768,336
96,-15832,374
97,-15824,260
98,-15860,318
99,-15908,162
100,-15916,230
101,-16184,202
102,-15900,172
103,-15952,106
104,-15952,196
105,-16056,106
106,-16132,190
107,-16244,208
108,-16324,112
109,-16164,124
110,-16232,84
111,-16204,118
112,-16064,10
113,-15792,86
114,-15712,98
115,-15912,84
116,-16136,62
117,-16160,-10
118,-16128,-14
119,-15764,22
120,-15912,-96
121,-15800,-178
122,-15816,-236
123,-15912,-154
124,-15948,-182
125,-16028,-212
126,-16196,-250
127,-16256,-262
128,-16120,-322
129,-15992,-222
130,-16156,-200
131,-16164,-244
132,-16124,-282
133,-16096,-166
134,-16036,-96
135,-15932,-132
136,-15968,-76
137,-15976,-154
138,-16044,-106
139,-16084,8
140,-16064,-124
141,-16168,-108
142,-15956,-120
143,-16072,-196
144,-16164,-182
145,-16228,-260
146,-16060,-334
147,-15900,-366
148,-15944,-422
149,-15964,-468
150,-16136,-544
151,-16128,-508
152,-15900,-368
153,-16200,-446
154,-16204,-466
155,-16188,-388
156,-16480,-408
157,-16352,-572
158,-16360,-592
159,-16404,-618
160,-16420,-480
161,-16232,-512
162,-16468,-496
163,-16628,-466
164,-16384,-406
165,-16252,-368
166,-16024,-408
167,-16272,-380
168,-16332,-508
169,-16036,-540
170,-16128,-550
171,-16092,-508
172,-16224,-428
173,-16088,-342
174,-16136,-316
175,-16168,-228
176,-16348,-228
177,-16208,-254
178,-16320,-204
179,-16400,-292
180,-16444,-316
181,-16460,-310
182,-16512,-296
183,-16420,-234
184,-16356,-278
185,-16168,-220
186,-16252,-320
187,-16312,-222
